ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
44,Mobley benchmarkset,gdcc-set1,temoa,guest-3,-5.476,0.006,-9.961,0.006,-75.1661,-0.5307,5.2003,-81.4089,1.5732,-987.0488,-43.09,451.7958,-1404.3093,8.5547,-1072.6153,-64.3731,678.2325,-1694.6678,8.193,-666.923,357.9099,678.2325,-1711.2585,8.193,-70.0196,7.4253,5.2003,-84.2184,1.5732,-605.5736,350.4846,451.7958,-1416.4088,8.5547,-12.0821999999999,-10.4004,-9.961,-2.12119999999994,4.49948943999976,-0.43939999999999
45,Mobley benchmarkset,gdcc-set1,temoa,guest-4,-4.52,0.02,-9.1,0.1,-114.2767,0.5122,-43.7356,-72.6517,1.5984,-986.5723,-43.4125,432.0802,-1383.8081,8.5682,-1112.8974,-66.3479,615.6273,-1670.4139,8.2371,-633.7021,430.1255,615.6273,-1687.692,8.2371,-41.7361,75.1689,-43.7356,-74.7678,1.5984,-600.4492,354.9566,432.0802,-1396.0541,8.5682,-14.9644,-12.0483999999999,-9.1,-5.86439999999996,34.3911873599995,-2.9483999999999
46,Mobley benchmarkset,gdcc-set1,temoa,guest-5,-5.26,0.01,-7.6,0.1,-88.985,-0.7693,-14.1518,-75.6528,1.5889,-988.6602,-45.8061,422.9631,-1374.4472,8.63,-1085.8512,-65.7814,631.0384,-1659.4612,8.353,-631.1037,405.0513,631.0384,-1675.5464,8.353,-38.8784,52.0012,-14.1518,-78.3168,1.5889,-601.4345,353.0501,422.9631,-1386.0778,8.63,-9.99680000000001,-8.20600000000013,-7.6,-2.39680000000001,5.74465024000004,-0.606000000000131
47,Mobley benchmarkset,gdcc-set1,temoa,guest-7,-5.73,0.06,-6.62,0.2,46.8339,-0.1712,94.3197,-49.4182,2.1036,-985.6013,-43.8356,426.3398,-1376.789,8.6836,-956.3802,-65.8885,308.5245,-1207.6121,8.596,-630.8137,275.4572,308.5245,-1223.3913,8.596,-28.9529,-74.576,94.3197,-50.8003,2.1036,-602.8903,350.0332,426.3398,-1387.947,8.6836,-20.8522,-17.6127999999999,-6.62,-14.2322,202.555516840001,-10.9927999999999
48,Mobley benchmarkset,gdcc-set1,oa,guest-3,-5.4,0.003,-7.71,0.05,-75.3343,-0.4562,3.3681,-79.7797,1.5335,-733.8849,-40.3197,648.4615,-1350.5032,8.4766,-820.9296,-61.5411,884.6689,-1652.2777,8.2202,-850.9842,-74.7097,884.6689,-1669.1636,8.2202,-69.6605,8.0958,3.3681,-82.6579,1.5335,-788.8171,-82.8056,648.4615,-1362.9496,8.4766,-13.2718,-11.7104000000001,-7.71,-5.56179999999999,30.9336192399998,-4.00040000000005
49,Mobley benchmarkset,gdcc-set1,oa,guest-4,-5.34,0.005,-5.67,0.01,-115.2047,-0.2181,-42.9311,-73.7048,1.6492,-728.4854,-41.4003,691.2398,-1386.7706,8.4456,-855.4175,-63.0672,872.5259,-1673.1803,8.3041,-820.3394,-13.7718,872.5259,-1687.3975,8.3041,-42.9772,74.2125,-42.9311,-75.9078,1.6492,-785.8641,-87.9843,691.2398,-1397.5653,8.4456,-12.9468999999999,-11.7274,-5.67,-7.27689999999991,52.9532736099988,-6.05739999999999
50,Mobley benchmarkset,gdcc-set1,oa,guest-5,-4.73,0.01,-4.45,0.08,-88.4759,-0.5729,-14.3696,-75.1177,1.5842,-733.1773,-41.2036,654.0574,-1354.6265,8.5955,-828.7896,-60.9362,863.8516,-1640.2012,8.4963,-816.4562,-32.0959,863.8516,-1656.7082,8.4963,-38.0548,52.222,-14.3696,-77.4914,1.5842,-788.0944,-84.3179,654.0574,-1366.4294,8.5955,-9.46669999999995,-7.13639999999998,-4.45,-5.01669999999995,25.1672788899995,-2.68639999999998
51,Mobley benchmarkset,gdcc-set1,oa,guest-6,-9.37,0.01,-14.78,0.02,-69.4741,-1.8199,3.0856,-72.5923,1.8524,-736.4825,-42.0642,677.3402,-1380.2716,8.5131,-821.6575,-67.7373,898.3322,-1660.5098,8.2573,-837.8113,-70.0306,898.3322,-1674.3703,8.2573,-55.5602,14.2399,3.0856,-74.7381,1.8524,-789.8759,-84.2705,677.3402,-1391.4588,8.5131,-16.2284,-15.7009,-14.78,-1.44839999999997,2.0978625599999,-0.920900000000048
52,Mobley benchmarkset,gdcc-set1,oa,guest-7,-4.49,0.01,-5.91,0.1,46.839,-0.7399,94.9982,-49.5227,2.1034,-734.7271,-37.8607,661.8415,-1367.1831,8.4752,-703.6363,-56.2562,536.3743,-1192.3653,8.6109,-816.9802,-155.5157,536.3743,-1206.4497,8.6109,-28.9667,-75.175,94.9982,-50.8933,2.1034,-787.7602,-80.3408,661.8415,-1377.7361,8.4752,-17.9089,-15.7482000000001,-5.91,-11.9989,143.97360121,-9.83820000000011
53,Mobley benchmarkset,gdcc-set1,oa,guest-8,-3.72,0.01,-9.96,0.11,17.1632,-0.2457,66.7274,-51.3796,2.0611,-732.762,-38.2766,647.3511,-1350.4069,8.5704,-732.9721,-59.9428,478.4095,-1159.9349,8.4961,-800.5099,-112.2727,478.4095,-1175.1428,8.4961,-16.5514,-32.8805,66.7274,-52.4593,2.0611,-785.5054,-79.3921,647.3511,-1362.0348,8.5704,-19.8736,-17.3733,-9.96,-9.91360000000001,98.2794649600002,-7.41329999999997
