,complex-name,gb-complex-etot,gb-complex-1-4-eel,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-1-4-eel,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-1-4-eel,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg,enthalpy-gb,entropy
0,10gs,-16145.919,18478.8142,-31052.1742,-3659.463,86.9041,-16042.9095,18034.9833,-30493.1722,-3672.7126,87.992,-115.6647,443.8309,-416.8647,-146.3683,3.7375,-38748.103,-4143.6338,-31052.1742,-3639.199,86.9041,-38133.6991,-4077.8698,-30493.1722,-3650.6491,87.992,-565.1881,-10.1928,-416.8647,-141.8681,3.7375,-8.841926757,-42.9160000000011,-34.0740732430011
1,1a1e,-9777.1684,7030.7012,-13515.0036,-3349.3791,56.513,-9499.3955,7189.5223,-13366.9577,-3378.1703,56.2103,-320.1633,-158.821,-96.6715,-69.1305,4.4598,-18709.7101,-1951.5817,-13515.0036,-3299.6378,56.513,-18544.8921,-1901.0486,-13366.9577,-3333.0961,56.2103,-173.519,-11.4008,-96.6715,-69.9064,4.4598,-8.289306335,3.2580999999991,11.5474063349991
2,1a30,-6925.5462,9349.451,-14111.767,-2211.3839,48.1538,-6881.3365,8949.8465,-13675.6929,-2204.7807,49.2906,-243.7531,399.6044,-381.1129,-265.2212,2.9765,-18061.711,-1837.5626,-14111.767,-2160.5351,48.1538,-17583.2732,-1777.04,-13675.6929,-2179.8309,49.2906,-645.4443,-9.3186,-381.1129,-257.9893,2.9765,-5.94066954,148.339400000001,154.280069540001
3,1a4k,-29413.8956,40100.7078,-61088.2896,-8626.6708,200.3571,-29189.9201,40319.8406,-60991.3946,-8719.3884,201.0223,-243.0495,-219.1329,74.3491,-101.7143,3.4485,-70665.774,-1141.4576,-61088.2896,-8636.3838,200.357,-70604.7723,-1084.3398,-60991.3946,-8730.0602,201.0222,-27.4572,-6.0182,74.3491,-99.2366,3.4485,-11.05240845,-32.0256000000008,-20.9731915500008
4,1a4r,-14436.7381,16726.9825,-26744.9283,-4516.3615,97.5691,-13647.6149,18021.0326,-27237.1053,-4529.6519,98.1097,-801.7543,-1294.0501,583.2385,-93.9965,3.0538,-32899.722,-1787.6642,-26744.9283,-4464.6987,97.5691,-33350.8858,-1733.7572,-27237.1053,-4478.133,98.1097,486.8763,-5.8718,583.2385,-93.5441,3.0538,-9.201130032,-35.4040999999997,-26.2029699679997
5,1a4w,-10060.8335,9388.6228,-16007.773,-3500.4882,58.8049,-9898.7146,9430.4623,-15870.8142,-3517.0657,58.703,-190.923,-41.8395,-56.5969,-96.9684,4.4818,-18531.722,882.3856,-16007.773,-3465.1395,58.8049,-18344.9586,947.9481,-15870.8142,-3480.7955,58.703,-161.8844,-13.4556,-56.5969,-96.3138,4.4818,-8.17878225,-23.3028000000013,-15.1240177500013
6,1a69,-50899.5392,63674.5215,-98270.9992,-16522.1412,219.0797,-50847.0705,63655.6987,-98137.7363,-16584.9029,219.87,-73.4878,18.8228,-43.8491,-50.6504,2.189,-128198.1561,-13930.1825,-98270.9992,-16216.0541,219.0797,-128115.241,-13888.7516,-98137.7363,-16308.6232,219.87,-97.0217,-2.8446,-43.8491,-52.517,2.189,-7.322220596,-17.5671999999977,-10.2449794039977
8,1a94,-7065.4194,9405.5759,-14502.2577,-2016.7336,47.996,-6979.1838,8857.9436,-13864.3605,-2022.6154,49.8485,-295.7968,547.6323,-573.0702,-276.7751,6.4163,-18251.4433,-1823.457,-14502.2577,-1973.7247,47.996,-17510.726,-1697.8693,-13864.3605,-1998.3447,49.8485,-865.5237,-26.0032,-573.0702,-272.8666,6.4163,-10.84517579,109.976699999999,120.821875789999
9,1a99,-24780.1502,33300.3128,-50719.6833,-7491.8373,131.0575,-24714.0074,33258.4787,-50167.3662,-7936.5222,131.4023,-61.4634,41.8341,98.513,-203.3729,1.5623,-63003.448,-5129.3644,-50719.6833,-7285.4578,131.0575,-62802.5035,-5088.0074,-50167.3662,-7678.5322,131.4023,-99.077,-0.7778,98.513,-198.3746,1.5623,-7.874841018,-45.2586000000047,-37.3837589820047
10,1a9m,-7285.7362,8653.2908,-14118.3106,-1868.268,47.5517,-7107.1222,8703.6593,-13958.2357,-1902.1869,49.6412,-304.8133,-50.3686,-146.1119,-113.1787,4.8458,-17744.3946,-1818.228,-14118.3106,-1855.4077,47.5517,-17511.7123,-1719.5554,-13958.2357,-1883.5623,49.6411,-270.0804,-15.329,-146.1119,-113.4853,4.8458,-9.560333306,42.8556999999983,52.4160333059983
11,1aaq,-6882.8585,9115.3337,-14166.5915,-1878.807,47.2064,-6909.2116,8675.3234,-13675.7958,-1957.9994,49.2602,-81.2297,440.0103,-419.8745,-106.2163,4.8508,-17765.5163,-1776.6506,-14166.5915,-1869.4805,47.2064,-17260.9385,-1689.4834,-13675.7958,-1944.9194,49.2602,-535.3355,-14.833,-419.8745,-105.4789,4.8508,-11.60502887,35.2486000000008,46.8536288700008
12,1add,-13432.4035,16011.6146,-25132.0808,-4378.7652,66.8278,-13547.1296,16055.5491,-25074.9721,-4595.1772,67.4707,-95.041,-43.9344,-15.0109,-38.417,2.3214,-32927.0383,-3585.8113,-25132.0808,-4275.974,66.8278,-33006.7662,-3539.7703,-25074.9721,-4459.4944,67.4707,-57.4822,-3.3511,-15.0109,-41.4416,2.3214,-9.311654116,167.0772,176.388854116
13,1adl,-10801.8965,11778.4378,-19521.9474,-3125.8403,67.4533,-10734.4465,11772.2766,-19347.2225,-3228.4,68.8993,-78.8472,6.1612,-8.5724,-79.5108,3.0749,-24805.6409,-2271.3582,-19521.9474,-3079.7886,67.4533,-24677.6564,-2224.0845,-19347.2225,-3175.2486,68.8993,-87.823,-3.8697,-8.5724,-78.4557,3.0749,-7.405113659,-32.0068000000028,-24.6016863410028
14,1ado,-52392.1519,65186.349,-104780.2505,-13060.1308,261.8804,-52159.2951,65270.896,-105183.9682,-12508.3237,262.1008,-373.2236,-84.547,-1.2996,-288.9741,1.5971,-131630.3887,-14300.4404,-104780.2505,-12811.5781,261.8804,-131489.1486,-14279.5242,-105183.9682,-12287.757,262.1008,-287.1362,-0.5567,-1.2996,-286.877,1.5971,-8.289306335,120.007300000012,128.296606335012
15,1afk,-5765.7136,4232.1572,-8422.51,-1610.2245,34.8636,-4825.7948,5476.4331,-8591.4524,-1745.8036,35.0281,-968.0476,-1244.2759,419.3284,-146.3957,3.2956,-7851.9612,2131.4573,-8422.51,-1595.7721,34.8636,-8114.5071,2172.1043,-8591.4524,-1730.1871,35.0281,276.6341,-5.7338,419.3284,-140.2562,3.2956,-9.145867989,-6.78440000000046,2.36146798899954
16,1afl,-5804.817,4197.6715,-8275.5757,-1761.9833,35.0705,-4850.7452,5496.9524,-8584.8641,-1798.2246,35.391,-974.0349,-1299.2809,431.3242,-109.2461,3.1679,-7821.5457,2171.6991,-8275.5757,-1752.7395,35.0705,-8124.6694,2204.8632,-8584.8641,-1780.0595,35.391,321.7106,-4.2124,431.3242,-108.5691,3.1679,-8.67614063,-8.98859999999968,-0.312459369999678
17,1ai4,-29424.1346,31958.3474,-55211.1125,-6311.2026,139.833,-29322.8972,31982.8136,-55173.853,-6272.2149,140.3571,-114.188,-24.4661,-1.3713,-90.0604,1.7099,-68986.7219,-7683.8253,-55211.1125,-6231.6171,139.833,-68887.6734,-7658.7559,-55173.853,-6195.4217,140.3571,-90.7714,-1.1552,-1.3713,-89.9548,1.7099,-3.453877639,-10.9636000000028,-7.50972236100277
18,1ai5,-29384.3549,32056.8006,-55340.0035,-6240.7194,139.5674,-29305.537,32072.8366,-55306.7977,-6211.6576,140.0817,-84.0186,-16.0361,10.466,-80.2596,1.811,-69044.7075,-7695.1761,-55340.0035,-6149.0954,139.5674,-68957.9399,-7666.0571,-55306.7977,-6125.1667,140.0817,-66.8763,-0.8763,10.466,-78.277,1.811,-5.139369928,-23.041999999994,-17.902630071994
19,1ai7,-29280.0852,31997.2394,-55160.6492,-6255.8975,139.2221,-29265.3379,32022.0453,-55168.0693,-6258.7753,139.4613,-24.6698,-24.8059,9.2827,-10.4441,1.2975,-68880.5771,-7693.8354,-55160.6492,-6165.3147,139.2221,-68873.0693,-7674.2931,-55168.0693,-6170.1682,139.4613,-1.0452,-0.2417,9.2827,-11.3836,1.2975,-5.650543818,-9.37809999999445,-3.72755618199445
20,1aid,-7229.3527,8502.3429,-13832.6489,-1948.3313,49.2846,-7223.1559,8540.3173,-13902.1,-1911.5802,50.2069,-39.1082,-37.9744,54.4709,-59.2132,3.6084,-17456.4469,-1747.2936,-13832.6489,-1925.7889,49.2846,-17441.2132,-1699.3397,-13902.1,-1889.9804,50.2069,-7.0405,-4.6433,54.4709,-60.4766,3.6084,-6.659076089,-10.3991999999998,-3.74012391099984
21,1aj7,-14683.4881,20251.3474,-31114.2868,-3917.2396,96.6909,-14451.6597,20462.2675,-30979.2015,-4031.9231,97.1974,-260.2325,-210.9201,52.8709,-104.8364,2.6532,-34526.7785,440.1084,-31114.2868,-3949.2909,96.6909,-34458.2373,482.2441,-30979.2015,-4058.4773,97.1974,-49.9266,-2.4516,52.8709,-102.999,2.6532,-5.346602586,-11.2800000000007,-5.93339741400065
22,1ajn,-29393.3179,31895.8083,-54872.2954,-6556.1346,139.3038,-29316.5096,31945.2318,-54909.1969,-6492.3644,139.8199,-92.9072,-49.4235,32.2455,-77.5133,1.7842,-68890.7608,-7697.3715,-54872.2954,-6460.3977,139.3038,-68837.6517,-7668.9306,-54909.1969,-6399.3441,139.8199,-41.9834,-0.3895,32.2455,-75.6235,1.7842,-3.633479277,-11.9524999999994,-8.31902072299942
23,1ajp,-29430.2005,31978.7155,-55241.6848,-6306.8052,139.5741,-29335.7227,31996.8568,-55212.9966,-6259.651,140.0681,-118.9601,-18.1413,-2.1161,-100.3991,1.6963,-69006.2897,-7677.1766,-55241.6848,-6227.0024,139.574,-68907.3007,-7653.7846,-55212.9966,-6180.5876,140.0681,-101.5255,-0.3917,-2.1161,-100.7141,1.6963,-3.080858854,1.48199999999633,4.56285885399633
24,1ajq,-29449.5484,32026.1169,-55296.9571,-6318.1094,139.4012,-29382.7686,32016.8076,-55252.8928,-6286.429,139.7457,-70.2031,9.3094,-0.6255,-80.4278,1.5408,-69077.8124,-7702.186,-55296.9571,-6218.0704,139.4012,-68977.1842,-7676.3032,-55252.8928,-6187.7339,139.7457,-78.5057,-0.8336,-0.6255,-78.5874,1.5408,-5.95448505,-21.6259000000064,-15.6714149500064
25,1ajv,-7175.348,8828.188,-14133.3581,-1917.3401,47.1622,-7116.9922,8758.3795,-13895.4728,-2028.8974,48.9985,-138.4946,69.8086,-175.925,-36.6942,4.316,-17803.8816,-1822.7999,-14133.3581,-1894.8857,47.1622,-17582.4132,-1733.6304,-13895.4728,-2002.3085,48.9985,-221.5875,-10.7034,-175.925,-39.2752,4.316,-10.66557415,1.67269999999917,12.3382741499992
